ranking,World Rank,University,Rank
344,12803,Hochschule für Jüdische Studien,2
345,12803,Katholische Hochschule Mainz,2
346,12823,Deutsches Erwachsenen Bildungswerk (Hochschule Bamberg),2
347,12905,Staatliche Studienakademie Bautzen,2
348,12990,PROVADIS School of International Management & Technology,2
349,13233,Duale Hochschule Gera-Eisenach,2
350,13268,BSP Business School Berlin Hochschule für Management,2
351,13344,Augustana Hochschule,2
352,13344,Hochschule 21 Gemeinnützige,2
353,13678,Hochschule der Sparkassen Finanzgruppe Bonn,2
354,13763,Hochschule der Bundesagentur für Arbeit HdBA,2
355,13849,Naturwissenschaftlich Technische Akademie Isny,2
356,13942,Berufsakademie Leipzig,2
357,14020,Psychologische Hochschule Berlin,2
358,14033,Fachhochschule für Öffentliche Verwaltung und Rechtspflege,2
359,14044,Brandenburg Medical School Theodor Fontane,2
360,14054,Bard College Berlin,2
361,14161,Institute for Law and Finance Goethe Universität,2
362,14211,Hochschule Bund,2
363,14211,Institut für Geschichte der Medizin der Robert Bosch Stiftung,2
364,14275,SRH Fachhochschule für Gesundheit Gera,2
365,14301,Hochschule der Wirtschaft für Management HdWM,1
366,14371,Berufsakademie Riesa,1
367,14379,Hornemann Institut,1
368,14388,Fachhochschule der Diakonie,1
369,14402,Kirchliche Hochschule Wuppertal/Bethel,1
370,14446,Willy Brandt School of Public Policy,1
371,14516,Hochschule für Wirtschaft Technik und Kultur,1
372,14540,Fachhochschule Dresden,1
373,14604,Hochschule Weserbergland,1
374,14641,Heidelberger Akademie der Wissenschaften,1
375,14684,EBZ Business School,1
376,14713,SRH Hochschule für Logistik und Wirtschaft,1
377,14807,International Research Institute for Cultural Technologies and Media Philosophy Bauhaus University Weimar,1
378,14818,IB Hochschule Berlin,1
379,14932,Hochschule für Gesundheit und Medizin Berlin / Medical School Berlin,1
380,15113,Wurttembergische Verwaltungs- und Wirtschafts-Akademie,1
381,15300,Touro College Berlin,1
382,15313,Privaten Hochschule für Wirtschaft und Technik Vechta-Diepholz-Oldenburg,1
383,15322,Freie Theologische Hochschule Giessen,1
384,15352,EMS Management School Mainz,1
385,15363,Hochschule für Künste im Sozialen Ottersberg (Fachhochschule Ottersberg),1
386,15395,DHGS Deutsche Hochschule für Gesundheit und Sport,1
387,15395,Freie Hochschule Stuttgart Seminar für Waldorfpädagogik,1
388,15627,Fachhochschule für die Wirtschaft Hannover,1
389,15658,Staatliche Studienakademie Plauen,1
390,15708,Fliedner Fachhochschule Düsseldorf,1
391,15843,Hochschule für Katholische Kirchenmusik und Musikpadagogik Regensburg,1
392,15901,Theologische Fakultät Fulda,1
393,16017,Theologische Fakultät Paderborn,1
394,16138,Akkon Hochschule,1
395,16165,Philosophisch Theologische Hochschule Münster,1
396,16217,Theologische Hochschule Elstal,1
397,16255,Evangelischer Kirchenkreisverband Schlesische Oberlausitz / Sprengel Görlitz,1
398,16265,Berufsakademie Sachsen am Standort Breitenbrunn,1
399,16305,Philosophisch Theologische Hochschule Sankt Augustin,1
400,16351,Berlin School of Business and Innovation,1
401,16397,Evangelische Hochschule (Hochschule für Soziale Arbeit & Diakonie),1
402,16449,Hochschule für Kirchenmusik Dresden,1
403,16630,Verwaltungs und Wirtschaftsakademie,1
404,16710,Leibniz Fachhochschule Hannover,1
405,16756,Evangelische Kirchenmusikhochschule Halle an der Saale,1
406,16801,Theologisches Seminar Reutlingen,1
407,16836,Hochschule für Evangelische Kirchenmusik Bayreuth,1
408,16977,Hochschule Berufsförderungswerk der Stiftung Rehabilitation Heidelberg,1
409,17334,Hochschule für Kirchenmusik Heidelberg,1
410,17334,Hochschule für Polizei Baden Württemberg,1
411,17409,Gustav Siewerth Akademie Weilheim-Bierbronnen,1
412,17450,International School of New Media University of Lubeck,1
413,17450,Kirchenmusikhochschule Tübingen,1
414,17473,Hochschule für Öffentliche Verwaltung Rheinland-Pfalz,1
415,17700,WelfenAkademie,1
416,17748,Berufsakademie Rhein-Main,1
417,18022,ISS International Business School of Service Management,1
418,18326,IBS IT & Business School Oldenburg,1
419,18410,International Max Planck Research School on the Life Course,1
